#
Voornaam
Achternaam
Team
Prijs
Etappe
Roze
Paars
Blauw
Totaal
RoR
Stop
# actief
# reserve
1	Isaac	Del Toro	UAE Team Emirates – XRG	7.1M	241	190	18	9	458	64.5		3	0
2	Mads	Pedersen	Lidl – Trek	13.6M	226	47	115	0	388	28.5		29	0
3	Richard	Carapaz	EF Education – EasyPost	10.1M	208	117	0	1	326	32.3		6	0
4	Simon	Yates	Team Visma | Lease a Bike	9M	136	148	0	0	284	31.6		4	8
5	Derek	Gee	Israel – Premier Rech	8.4M	138	85	0	0	223	26.5		19	2
6	Juan	Ayuso	UAE Team Emirates – XRG	16.3M	96	76	0	42	214	13.1	18	29	0
7	Olav	Kooij	Team Visma | Lease a Bike	10.8M	137	0	74	0	211	19.5		11	0
8	Damiano	Caruso	Bahrain – Victorious	5.3M	135	73	0	0	208	39.2		1	6
9	Primoz	Roglic	Red Bull – BORA – hansgrohe	17.5M	111	70	0	0	181	10.3	16	31	0
10	Antonio	Tiberi	Bahrain – Victorious	12.2M	110	65	0	0	175	14.3		11	0
11	Egan	Bernal	INEOS Grenadiers	8M	111	57	0	0	168	21.0		3	1
12	Lorenzo	Fortunato	XDS Astana Team	4.8M	47	7	0	113	167	34.8		13	2
13	Wout	Van Aert	Team Visma | Lease a Bike	12.2M	116	7	36	0	159	13.0		15	0
14	Orluis	Aular	Movistar Team	4.7M	136	6	10	0	152	32.3		1	0
15	Max	Poole	Team Picnic PostNL	6.6M	105	47	0	0	152	23.0		3	0
16	Kaden	Groves	Alpecin – Deceuninck	9.6M	137	0	0	0	137	14.3		22	3
17	Giulio	Pellizzari	Red Bull – BORA – hansgrohe	3.7M	82	52	0	0	134	36.2		4	0
18	Brandon	McNulty	UAE Team Emirates – XRG	3.9M	65	68	0	0	133	34.1		10	0
19	Thomas	Pidcock	Q36.5 Pro Cycling Team	8.7M	107	24	0	0	131	15.1		13	0
20	Giulio	Ciccone	Lidl – Trek	9.4M	102	11	0	9	122	13.0	14	7	18
21	Einer	Rubio	Movistar Team	7.1M	74	41	0	0	115	16.2		2	0
22	Nicolas	Prodhomme	Decathlon AG2R La Mondiale Team	3M	77	22	0	14	113	37.7		0	0
23	Christian	Scaroni	XDS Astana Team	3.9M	81	0	0	32	113	29.0		13	0
24	Michael	Storer	Tudor Pro Cycling Team	8.5M	67	38	0	0	105	12.4		15	7
25	Casper	Van Uden	Team Picnic PostNL	3.8M	71	0	33	0	104	27.4		10	0
26	Diego	Ullissi	XDS Astana Team	3.7M	73	11	0	0	84	22.7		3	0
