1	Tadej	Pogacar	UAE Team Emirates XRG	28.2M	359	224	78	93	754	26.7		58	0
2	Jonas	Vingegaard	Team Visma | Lease a Bike	21.3M	274	182	14	56	526	24.7		24	0
3	Oscar	Onley	Team Picnic PostNL	5.7M	191	107	0	0	298	52.3		20	22
4	Florian	Lipowitz	Red Bull – BORA – hansgrohe	10.6M	156	115	0	0	271	25.6		21	0
5	Kevin	Vauquelin	Arkea – B&B Hotels	5.5M	145	116	0	2	263	47.8		36	6
6	Jonathan	Milan	Lidl – Trek	11.9M	130	0	105	0	235	19.7		21	0
7	Ben	Healy	EF Education – EasyPost	4.7M	127	51	0	22	200	42.6		18	2
8	Matteo	Jorgenson	Team Visma | Lease a Bike	10M	142	53	0	0	195	19.5		12	16
9	Mathieu	Van der Poel	Alpecin – Deceuninck	10.5M	109	46	35	0	190	18.1	15	44	0
10	Felix	Gall	Decathlon AG2R La Mondiale Team	8.6M	123	67	0	0	190	22.1		13	1
11	Remco	Evenepoel	Soudal Quick-Step	18.3M	118	58	0	0	176	9.6	14	20	0
12	Primoz	Roglic	Red Bull – BORA – hansgrohe	14.3M	108	62	0	0	170	11.9		5	0
13	Thymen	Arensman	INEOS Grenadiers	7.8M	111	28	0	25	164	21.0		2	0
14	Tobias Halland	Johannessen	Uno-X Mobility	6.1M	96	57	0	0	153	25.1		17	0
15	Biniam	Girmay	Intermarche – Wanty	11.6M	78	7	66	0	151	13.0		5	0
16	Wout	Van Aert	Team Visma | Lease a Bike	10.3M	119	0	0	0	119	11.6		21	0
17	Ben	O’Connor	Team Jayco AlUla	10M	77	30	0	4	111	11.1		1	9
18	Kaden	Groves	Alpecin – Deceuninck	7.1M	110	0	0	0	110	15.5		2	0
19	Arnaud	De Lie	Lotto	8M	110	0	0	0	110	13.8		3	0
20	Jordan	Jegat	Team TotalEnergies	2.6M	71	32	0	0	103	39.6		13	0
21	Simon	Yates	Team Visma | Lease a Bike	9.4M	75	22	0	0	97	10.3		1	1
22	Lenny	Martinez	Bahrain – Victorious	6.6M	38	0	0	57	95	14.4		7	0
23	Tim	Wellens	UAE Team Emirates XRG	3.2M	50	0	0	41	91	28.4		1	0
24	Tim	Merlier	Soudal Quick-Step	12.3M	70	0	20	0	90	7.3		21	0
25	Romain	Gregoire	Groupama – FDJ	3.9M	80	0	0	0	80	20.5		27	0
26	Davide	Ballerini	XDS Astana Team	3.7M	70	0	0	0	70	18.9		0	0
27	Julian	Alaphilippe	Tudor Pro Cycling Team	5.2M	68	0	0	0	68	13.1		3	3
28	Jhonatan	Narvaez	UAE Team Emirates XRG	5M	40	26	0	0	66	13.2		0	1
29	Tobias Lund	Andresen	Team Picnic PostNL	5.5M	64	0	0	0	64	11.6		4	2
30	Phil	Bauhaus	Bahrain – Victorious	7.1M	61	0	0	0	61	8.6		1	0
31	Paul	Penhoet	Groupama – FDJ	3.1M	55	2	2	0	59	19.0		13	0
32	Anthony	Turgis	Team TotalEnergies	3.6M	43	5	11	0	59	16.4		7	0
33	Alberto	Dainese	Tudor Pro Cycling Team	4.8M	59	0	0	0	59	12.3		3	0
34	Matteo	Trentin	Tudor Pro Cycling Team	3.7M	53	4	0	0	57	15.4		1	0
35	Jasper	Philipsen	Alpecin – Deceuninck	12.3M	35	10	10	0	55	4.5	3	11	0
36	Soren	Waerenskjold	Uno-X Mobility	5.4M	49	6	0	0	55	10.2	10	6	2
37	Axel	Laurance	INEOS Grenadiers	3.1M	54	0	0	0	54	17.4		10	0
38	Michael	Storer	Tudor Pro Cycling Team	6.1M	53	0	0	1	54	8.9		2	0
