#
Voornaam
Achternaam
Team
Prijs
Etappe
Geel
Groen
Bolletjes
Totaal
RoR
Stop
# actief
# reserve
1	Tadej	Pogacar	UAE Team Emirates	26.6M	335	205	64	25	629	23.6		18	0
2	Jonas	Vingegaard	Jumbo-Visma	17.2M	267	203	0	55	525	30.5		25	0
3	Wout	Van Aert	Jumbo-Visma	19.4M	281	39	114	16	450	23.2		52	0
4	Geraint	Thomas	INEOS Grenadiers	13.2M	177	143	0	0	320	24.2		7	0
5	David	Gaudu	Groupama - FDJ	8.1M	137	99	0	1	237	29.3		7	6
6	Jasper	Philipsen	Alpecin-Deceuninck	11.4M	192	0	39	0	231	20.3		13	0
7	Nairo	Quintana	Team Arkea Samsic	6.7M	115	80	0	0	195	29.1		4	1
8	Romain	Bardet	Team DSM	7.6M	95	85	0	0	180	23.7		12	6
9	Alesandr	Vlasov	BORA - hansgrohe	14.5M	107	61	0	0	168	11.6		21	0
10	Adam	Yates	INEOS Grenadiers	11.5M	84	81	0	0	165	14.3		3	0
11	Mads	Pedersen	Trek - Segafredo	6.4M	124	20	19	0	163	25.5		39	0
12	Louis	Meintjes	Intermarche - Wanty - Gobert - Materiaux	4.8M	69	52	0	21	142	29.6		20	0
13	Fabio	Jakobsen	Quick Step Alpha Vinyl Team	12.8M	85	0	53	0	138	10.8		14	0
14	Neilson	Powless	EF Education-EasyPost	2.9M	80	42	0	9	131	45.2		8	0
15	Thomas	Pidcock	INEOS Grenadiers	6.3M	91	31	0	0	122	19.4		5	0
16	Magnus	Cort	EF Education-EasyPost	4.7M	66	0	14	39	119	25.3	14	7	1
17	Dylan	Groenewegen	Team BikeExchange - Jayco	10.7M	116	0	3	0	119	11.1		1	0
18	Peter	Sagan	TotalEnergies	6.8M	107	0	10	0	117	17.2		20	1
19	Michael	Matthews	Team BikeExchange - Jayco	7.6M	112	0	0	0	112	14.7		9	0
20	Alexey	Lutsenko	Astana Qazaqstan	7.5M	73	34	0	0	107	14.3		5	2
21	Bob	Jungels	AG2R Citroen Team	3.7M	67	28	0	8	103	27.8		2	0
22	Simon	Geschke	Cofidis	3.1M	33	0	0	68	101	32.6		2	0
23	Christophe	Laporte	Jumbo-Visma	3.1M	84	0	16	0	100	32.3		5	0
24	Alexander	Kristoff	Intermarche - Wanty - Gobert - Materiaux	6.3M	90	0	0	0	90	14.3		13	0
25	Fred	Wright	Bahrain - Victorious	2.5M	89	0	0	0	89	35.6		1	5
26	Danny	Van Poppel	BORA - hansgrohe	8M	89	0	0	0	89	11.1		1	0
27	Thibaut	Pinot	Groupama - FDJ	6M	61	22	0	6	89	14.8		9	26
28	Yves	Lampaert	Quick Step Alpha Vinyl Team	2.8M	45	33	6	0	84	30.0		4	0
29	Valentin	Madouas	Groupama - FDJ	2.8M	53	30	0	0	83	29.6		0	0
30	Alberto	Dainese	Team DSM	6.1M	82	0	0	0	82	13.4		4	0
31	Luca	Mozzato	B&B Hotels - KTM	2.7M	81	0	0	0	81	30.0		29	0
32	Primoz	Roglic	Jumbo-Visma	19.7M	69	6	0	4	79	4.0	14	19	0
33	Enric	Mas	Movistar Team	10.4M	77	1	0	0	78	7.5	18	5	0
34	Hugo	Hofstetter	Team Arkea Samsic	3.7M	76	0	0	0	76	20.5		19	0
35	Filippo	Ganna	INEOS Grenadiers	5.9M	63	10	2	0	75	12.7		13	3
36	Dylan	Teuns	Bahrain - Victorious	4.7M	57	14	0	0	71	15.1		1	0
37	Alberto	Bettiol	EF Education-EasyPost	3.7M	71	0	0	0	71	19.2		2	0
38	Hugo	Houle	Israel - Premier Tech	2.6M	69	0	0	0	69	26.5		2	0
39	Matteo	Jorgenson	Movistar Team	3M	67	0	0	0	67	22.3		15	0
40	Luis Leon	Sanchez	Bahrain - Victorious	3.1M	40	24	0	0	64	20.6		2	0
41	Lennard	Kamna	BORA - hansgrohe	5.7M	51	7	0	2	60	10.5	15	7	5
42	Sepp	Kuss	Jumbo-Visma	5.7M	43	16	0	0	59	10.4		4	3
43	Jasper	Stuyven	Trek - Segafredo	5.3M	59	0	0	0	59	11.1		3	2
44	Florian	Senechal	Quick Step Alpha Vinyl Team	5.2M	55	0	0	0	55	10.6		0	0
45	Patrick	Konrad	BORA - hansgrohe	3.4M	34	20	0	0	54	15.9		6	0
46	Daniel Felipe	Martinez	INEOS Grenadiers	12.8M	48	1	0	0	49	3.8		11	0
47	Caleb	Ewan	Lotto Soudal	9.1M	47	0	0	0	47	5.2		3	4
48	Brandon	McNulty	UAE Team Emirates	5.4M	34	12	0	0	46	8.5		8	4
49	Benjamin	Thomas	Cofidis	3.6M	45	0	0	0	45	12.5		13	0
50	Stefan	Kung	Groupama - FDJ	5M	45	0	0	0	45	9.0		21	0
51	Nick	Schultz	Team BikeExchange - Jayco	2.5M	45	0	0	0	45	18.0		3	0
52	Jeremy	Lecroq	B&B Hotels - KTM	2.5M	44	0	0	0	44	17.6		1	1
53	Andrea	Pasqualon	Intermarche - Wanty - Gobert - Materiaux	3.6M	44	0	0	0	44	12.2		3	0
54	Giulio	Ciccone	Trek - Segafredo	5.5M	18	0	0	26	44	8.0		6	6
55	Edwald	Boasson Hagen	TotalEnergies	4.9M	37	6	0	0	43	8.8		0	0
56	Mathieu	Van der Poel	Alpecin-Deceuninck	11.6M	23	15	1	0	39	3.4	11	26	0
57	Simon	Clarke	Israel - Premier Tech	2.5M	39	0	0	0	39	15.6	14	0	5
58	Carlos	Verona	Movistar Team	4.5M	35	0	0	0	35	7.8		4	0
59	Michael	Woods	Israel - Premier Tech	7.1M	34	0	0	0	34	4.8	99	3	1
60	Bauke	Mollema	Trek - Segafredo	5.3M	34	0	0	0	34	6.4		19	3
61	Jonathan	Castroviejo	INEOS Grenadiers	2.8M	32	0	0	0	32	11.4		0	0
62	Andreas	Kron	Lotto Soudal	2.9M	31	0	0	0	31	10.7		10	0
63	Dylan	Van Baarle	INEOS Grenadiers	4.4M	31	0	0	0	31	7.0		2	0
64	Taco	Van der Hoorn	Intermarche - Wanty - Gobert - Materiaux	2.8M	30	0	0	0	30	10.7		14	0
65	Damiano	Caruso	Bahrain - Victorious	10.8M	27	0	0	0	27	2.5	17	7	0
66	Amaury	Capiot	Team Arkea Samsic	2.8M	27	0	0	0	27	9.6		5	0
67	Chris	Froome	Israel - Premier Tech	3.3M	26	0	0	0	26	7.9	17	4	0
68	Pierre	Latour	TotalEnergies	3.5M	18	0	0	6	24	6.9		8	0
69	Marc	Soler	UAE Team Emirates	3.8M	23	0	0	0	23	6.1	16	4	0
70	Rigoberto	Uran	EF Education-EasyPost	8.4M	22	0	0	0	22	2.6		5	7
71	Maximilian	Schachmann	BORA - hansgrohe	4.8M	21	0	0	0	21	4.4		4	0
72	Michael	Storer	Groupama - FDJ	4.8M	21	0	0	0	21	4.4		8	1
73	Jakob	Fuglsang	Israel - Premier Tech	6.8M	21	0	0	0	21	3.1	15	3	0
74	Georg	Zimmermann	Intermarche - Wanty - Gobert - Materiaux	2.5M	19	0	0	0	19	7.6		1	1
75	Steven	Kruijswijk	Jumbo-Visma	3.7M	19	0	0	0	19	5.1	15	6	0
76	Guillaume	Martin	Cofidis	7.4M	18	0	0	0	18	2.4	8	1	3
77	Max	Walscheid	Cofidis	3.3M	18	0	0	0	18	5.5	15	5	0
78	Mattia	Cattaneo	Quick Step Alpha Vinyl Team	5.7M	18	0	0	0	18	3.2		4	6
79	Felix	Grossschartner	BORA - hansgrohe	5.1M	17	0	0	0	17	3.3		1	0
80	Andreas	Leknessund	Team DSM	3.7M	17	0	0	0	17	4.6		14	0
81	Jan	Tratnik	Bahrain - Victorious	2.8M	16	0	0	0	16	5.7		11	0
82	Simone	Velasco	Astana Qazaqstan	2.5M	13	0	0	0	13	5.2		0	2
83	Warren	Barguil	Team Arkea Samsic	4.8M	11	0	0	2	13	2.7	12	0	0
84	Luka	Mezgec	Team BikeExchange - Jayco	3.5M	13	0	0	0	13	3.7		0	0
85	Mathieu	Burgaudeau	TotalEnergies	2.7M	13	0	0	0	13	4.8		4	0
86	Quinn	Simmons	Trek - Segafredo	2.9M	11	0	0	2	13	4.5		6	0
87	Rafal	Majka	UAE Team Emirates	5.3M	13	0	0	0	13	2.5	16	6	0
88	Florian	Vermeersch	Lotto Soudal	2.6M	10	0	0	0	10	3.8		1	0
89	Gregor	Muhlberger	Movistar Team	2.6M	10	0	0	0	10	3.8		0	0
90	Mikkel Frolich	Honore	Quick Step Alpha Vinyl Team	2.5M	10	0	0	0	10	4.0		5	5
91	Alexander	Krieger	Alpecin-Deceuninck	2.5M	9	0	0	0	9	3.6		0	0
92	Nils	Politt	BORA - hansgrohe	2.9M	9	0	0	0	9	3.1		2	0
93	Marco	Haller	BORA - hansgrohe	2.8M	8	0	0	0	8	2.9		0	0
94	Mikkel	Bjerg	UAE Team Emirates	2.9M	8	0	0	0	8	2.8		3	0
95	Connor	Swift	Team Arkea Samsic	2.6M	7	0	0	0	7	2.7		2	0
96	Franck	Bonnamour	B&B Hotels - KTM	3.3M	6	0	0	0	6	1.8		3	0
97	Ion	Izagirre	Cofidis	4.6M	6	0	0	0	6	1.3		4	0
98	Tiesj	Benoot	Jumbo-Visma	2.8M	6	0	0	0	6	2.1		4	0
99	Oliver	Naesen	AG2R Citroen Team	2.8M	5	0	0	0	5	1.8	11	5	0
100	Kristian	Sbaragli	Alpecin-Deceuninck	2.5M	5	0	0	0	5	2.0		1	0
101	Michael	Morkov	Quick Step Alpha Vinyl Team	3.3M	5	0	0	0	5	1.5	15	1	0
102	Stan	Dewulf	AG2R Citroen Team	2.6M	4	0	0	0	4	1.5		2	0
103	Krists	Neilands	Israel - Premier Tech	2.5M	4	0	0	0	4	1.6		0	1
104	Alexis	Vuillermoz	TotalEnergies	2.8M	0	0	0	4	4	1.4	9	0	0
105	Aurelien	Paret-Peintre	AG2R Citroen Team	3M	3	0	0	0	3	1.0	15	3	0
106	Andrey	Zeits	Astana Qazaqstan	2.6M	3	0	0	0	3	1.2		0	0
107	Pierre	Rolland	B&B Hotels - KTM	3.3M	2	0	0	0	2	0.6		8	0
108	Stefan	Bissegger	EF Education-EasyPost	4.2M	2	0	0	0	2	0.5		18	0
109	Reinardt	Janse van Rensburg	Lotto Soudal	2.5M	2	0	0	0	2	0.8		1	1
110	Philippe	Gilbert	Lotto Soudal	2.6M	1	0	0	0	1	0.4		4	1
111	Geoffrey	Bouchard	AG2R Citroen Team	3.5M	0	0	0	0	0	0.0	7	7	0
112	Mikael	Cherel	AG2R Citroen Team	2.5M	0	0	0	0	0	0.0	15	0	1
113	Benoit	Cosnefroy	AG2R Citroen Team	3.7M	0	0	0	0	0	0.0		9	0
114	Ben	O’Connor	AG2R Citroen Team	10.3M	0	0	0	0	0	0.0	9	24	0
115	Silvan	Dillier	Alpecin-Deceuninck	2.5M	0	0	0	0	0	0.0		1	1
116	Michael	Gogl	Alpecin-Deceuninck	2.7M	0	0	0	0	0	0.0	5	0	0
117	Edward	Planckaert	Alpecin-Deceuninck	2.5M	0	0	0	0	0	0.0		2	0
118	Guillaume	Van Keirsbulck	Alpecin-Deceuninck	2.5M	0	0	0	0	0	0.0		1	0
119	Samuele	Battistella	Astana Qazaqstan	3M	0	0	0	0	0	0.0	1	1	0
120	Joe	Dombrowski	Astana Qazaqstan	2.5M	0	0	0	0	0	0.0		4	1
121	Fabio	Felline	Astana Qazaqstan	2.7M	0	0	0	0	0	0.0	17	1	0
