#
Voornaam
Achternaam
Team
Prijs
Etappe
Rood
Groen
Bolletjes
Totaal
RoR
Stop
# actief
# reserve
1	Primoz	Roglic	Red Bull BORA hansgrohe	20.7M	233	205	25	42	505	24.4		16	0
2	Wout	Van Aert	Team Visma Lease a Bike	11.7M	242	22	72	27	363	31.0	16	37	0
3	Enric	Mas	Movistar Team	9.3M	161	155	0	0	316	34.0		15	15
4	Ben	O�Connor	Decathlon AG2R La Mondiale Team	10.3M	125	185	5	0	315	30.6		1	0
5	Kaden	Groves	Alpecin Deceuninck	9M	169	0	97	0	266	29.6		9	2
6	Richard	Carapaz	EF Education EasyPost	12.7M	118	115	0	0	233	18.3		17	0
7	Mikel	Landa	Soudal Quickstep	14.7M	123	78	0	0	201	13.7		6	0
8	Mattias	Skjelmose	Lidl Trek	10.3M	134	61	0	0	195	18.9		17	0
9	David	Gaudu	Groupama FDJ	7.7M	101	63	0	9	173	22.5		2	0
10	Florian	Lipowitz	Red Bull BORA hansgrohe	6.2M	106	67	0	0	173	27.9		2	0
11	Marc	Soler	UAE Team Emirates	5.5M	123	0	2	42	167	30.4		2	3
12	Stefan	K�ng	Groupama FDJ	4.2M	141	15	3	7	166	39.5		0	0
13	Mathias	Vacek	Lidl Trek	2.5M	131	19	13	0	163	65.2		25	2
14	Max	Poole	Team dsm firmenich PostNL	6.7M	130	0	19	0	149	22.2		8	0
15	Eddie	Dunbar	Team Jayco AlUla	9.7M	116	30	0	0	146	15.1		0	0
16	Pavel	Bittner	Team dsm firmenich PostNL	6.7M	105	0	39	0	144	21.5		4	0
17	Pablo	Castrillo	Equipo Kern Pharma	2.5M	93	0	24	26	143	57.2		11	4
18	Mauro	Schmid	Team Jayco AlUla	3.2M	131	7	0	0	138	43.1		12	0
19	Carlos	Rodriguez	INEOS Grenadiers	14M	78	54	0	0	132	9.4		3	0
20	Pau	Miquel	Equipo Kern Pharma	3.7M	122	0	0	0	122	33.0		4	0
21	Corbin	Strong	Israel Premier Tech	5.5M	111	0	7	0	118	21.5	17	14	1
22	Adam	Yates	UAE Team Emirates	19.3M	55	34	0	25	114	5.9		13	0
23	Pavel	Sivakov	UAE Team Emirates	4M	78	34	0	0	112	28.0		0	0
24	Alexandr	Vlasov	Red Bull BORA hansgrohe	11M	95	16	0	0	111	10.1		1	0
25	Jay	Vine	UAE Team Emirates	5.7M	48	0	0	54	102	17.9		2	4
26	Urko	Berrade	Equipo Kern Pharma	2.5M	95	0	0	0	95	38.0		0	1
27	Lennert	Van Eetvelt	Lotto Dstny	4.2M	79	14	0	0	93	22.1	11	28	0
28	Cristi�n	Rodriguez	Ark�a B&B Hotels	5.2M	53	35	0	0	88	16.9		2	1
29	Harold	Tejada	Astana Qazaqstan Team	3M	69	0	17	0	86	28.7		4	0
30	Jhonatan	Narv�ez	INEOS Grenadiers	6.5M	86	0	0	0	86	13.2		8	0
31	Brandon	McNulty	UAE Team Emirates	4.7M	53	26	7	0	86	18.3		8	0
32	Sepp	Kuss	Team Visma Lease a Bike	15.5M	57	24	0	0	81	5.2		14	0
33	Felix	Gall	Decathlon AG2R La Mondiale Team	7.7M	67	10	0	0	77	10.0		0	0
34	Filippo	Zana	Team Jayco AlUla	5M	49	0	0	25	74	14.8		3	1
35	Antonio	Tiberi	Bahrain Victorious	9.5M	52	20	0	0	72	7.6	9	10	8
36	Filippo	Baroncini	UAE Team Emirates	2.5M	68	0	0	0	68	27.2		0	0
37	Marco	Frigo	Israel Premier Tech	3.2M	57	0	0	6	63	19.7		0	0
38	Joao	Almeida	UAE Team Emirates	18.3M	37	26	0	0	63	3.4	8	28	0
39	Quentin	Pacher	Groupama FDJ	3.5M	61	0	0	0	61	17.4		2	0
40	Ion	Izagirre	Cofidis	3.8M	58	0	0	0	58	15.3		0	0
41	Simon	Guglielmi	Ark�a B&B Hotels	2.5M	57	0	0	0	57	22.8		0	0
42	Arjen	Livyns	Lotto Dstny	2.5M	56	0	0	0	56	22.4		4	0
43	Jon	Aberasturi	Euskaltel Euskadi	3.8M	50	0	3	0	53	13.9	6	9	0
44	George	Bennett	Israel Premier Tech	5.3M	52	0	0	0	52	9.8		2	1
45	Quinten	Hermans	Alpecin Deceuninck	3M	51	0	0	0	51	17.0		3	0
46	Guillaume	Martin	Cofidis	6.2M	29	22	0	0	51	8.2		1	0
47	Matthew	Riccitello	Israel Premier Tech	6M	50	0	0	0	50	8.3		6	13
48	Bryan	Coquard	Cofidis	7.3M	45	0	0	0	45	6.2	8	4	0
49	Edoardo	Affini	Team Visma Lease a Bike	3.5M	31	12	1	0	44	12.6		1	0
50	Jos� F�lix	Parra	Equipo Kern Pharma	2.5M	25	18	0	0	43	17.2		2	0
51	Arne	Marit	Intermarch� Wanty	6.5M	43	0	0	0	43	6.6		1	0
52	Isaac	Del Toro	UAE Team Emirates	8.7M	42	0	0	0	42	4.8		4	5
53	Lorenzo	Fortunato	Astana Qazaqstan Team	3.5M	21	20	0	0	41	11.7		19	0
54	Michael	Woods	Israel Premier Tech	5.8M	41	0	0	0	41	7.1	16	1	7
55	Gianmarco	Garofoli	Astana Qazaqstan Team	2.5M	40	0	0	0	40	16.0		0	0
56	Cl�ment	Berthet	Decathlon AG2R La Mondiale Team	2.7M	27	12	0	0	39	14.4		1	0
57	Carlos	Canal	Movistar Team	2.8M	38	0	0	0	38	13.6		10	0
58	Gijs	Leemreize	Team dsm firmenich PostNL	2.8M	38	0	0	0	38	13.6		2	0
59	Antonio Jes�s	Soto	Equipo Kern Pharma	2.5M	36	0	0	0	36	14.4		1	0
60	Vito	Braet	Intermarch� Wanty	2.5M	36	0	0	0	36	14.4		5	3
61	Victor	Campenaerts	Lotto Dstny	3.7M	36	0	0	0	36	9.7		2	0
62	Mauri	Vansevenant	Soudal Quickstep	2.9M	36	0	0	0	36	12.4		3	0
63	Sylvain	Moniquet	Lotto Dstny	2.5M	8	0	0	25	33	13.2		0	0
64	Lorenzo	Rota	Intermarch� Wanty	2.9M	31	0	0	0	31	10.7	10	1	0
65	Sam	Oomen	Lidl Trek	3M	31	0	0	0	31	10.3		0	0
66	Mattia	Cattaneo	Soudal Quickstep	3.5M	31	0	0	0	31	8.9		0	0
67	Carlos	Verona	Lidl Trek	2.5M	30	0	0	0	30	12.0		0	1
68	Mathis	Le Berre	Ark�a B&B Hotels	2.5M	29	0	0	0	29	11.6		0	0
69	Xabier	Berasategi	Euskaltel Euskadi	2.5M	29	0	0	0	29	11.6		1	0
70	William Junior	Lecerf	Soudal Quickstep	4.5M	29	0	0	0	29	6.4		0	0
71	Bruno	Armirail	Decathlon AG2R La Mondiale Team	4.2M	24	1	0	2	27	6.4		0	0
72	Steven	Kruijswijk	Team Visma Lease a Bike	4.5M	13	14	0	0	27	6.0		1	0
73	Jack	Haig	Bahrain Victorious	4.5M	26	0	0	0	26	5.8		2	0
74	Gotzon	Mart�n	Euskaltel Euskadi	2.5M	26	0	0	0	26	10.4		0	0
75	Joshua	Tarling	INEOS Grenadiers	4.7M	19	6	0	0	25	5.3	9	13	0
76	Luis �ngel	Mat�	Euskaltel Euskadi	4.7M	0	0	7	16	23	4.9		0	0
77	Luca	Vergallito	Alpecin Deceuninck	2.5M	22	0	0	0	22	8.8		1	0
78	Juri	Hollmann	Alpecin Deceuninck	2.5M	21	0	0	0	21	8.4		0	0
79	Oier	Lazkano	Movistar Team	5M	21	0	0	0	21	4.2		2	1
80	Txomin	Juaristi	Euskaltel Euskadi	2.5M	19	0	0	0	19	7.6	20	2	0
81	Attila	Valter	Team Visma Lease a Bike	3.5M	19	0	0	0	19	5.4		0	0
82	Edward	Planckaert	Alpecin Deceuninck	2.5M	18	0	0	0	18	7.2		1	1
83	Mikel	Bizkarra	Euskaltel Euskadi	2.5M	17	0	0	0	17	6.8		1	1
84	Brandon Smith	Rivera	INEOS Grenadiers	3M	17	0	0	0	17	5.7		0	0
85	Roger	Adri�	Red Bull BORA hansgrohe	2.8M	12	0	0	4	16	5.7		10	0
86	Oscar	Rodriguez	INEOS Grenadiers	3M	14	0	0	0	14	4.7		0	0
87	Kasper	Asgreen	Soudal Quickstep	3M	14	0	0	0	14	4.7		3	0
88	Harry	Sweeny	EF Education EasyPost	3M	13	0	0	0	13	4.3		0	0
89	Louis	Meintjes	Intermarch� Wanty	4.8M	13	0	0	0	13	2.7		1	1
90	Nelson	Oliveira	Movistar Team	3.8M	12	0	0	0	12	3.2		2	0
91	Joan	Bou	Euskaltel Euskadi	2.5M	10	0	0	0	10	4.0		3	0
92	Louis	Vervaeke	Soudal Quickstep	2.5M	10	0	0	0	10	4.0		0	1
93	Nadav	Raisberg	Israel Premier Tech	2.5M	9	0	0	0	9	3.6		0	0
94	Einer	Rubio	Movistar Team	4.8M	9	0	0	0	9	1.9		10	2
95	R�my	Rochas	Groupama FDJ	2.7M	8	0	0	0	8	3.0	16	0	0
96	Felix	Engelhardt	Team Jayco AlUla	2.5M	8	0	0	0	8	3.2		6	4
97	Andreas	Kron	Lotto Dstny	4.8M	7	0	0	0	7	1.5	6	6	2
98	Martijn	Tusveld	Team dsm firmenich PostNL	2.5M	7	0	0	0	7	2.8		2	0
99	Jes�s	Herrada	Cofidis	3.5M	6	0	0	0	6	1.7		4	0
100	Kim	Heiduk	INEOS Grenadiers	2.8M	6	0	0	0	6	2.1		1	0
101	Dylan	Teuns	Israel Premier Tech	4M	6	0	0	0	6	1.5		1	0
102	Pelayo	Sanchez	Movistar Team	3.5M	0	0	0	6	6	1.7	15	10	0
103	Thibault	Guernalec	Ark�a B&B Hotels	2.5M	5	0	0	0	5	2.0		1	0
104	Ide	Schelling	Astana Qazaqstan Team	2.5M	5	0	0	0	5	2.0		12	1
105	Ibon	Ruiz	Equipo Kern Pharma	2.5M	0	0	0	5	5	2.0		0	0
106	Patrick	Konrad	Lidl Trek	4.3M	5	0	0	0	5	1.2	10	0	0
107	Jasha	S�tterlin	Bahrain Victorious	3M	4	0	0	0	4	1.3		0	0
108	Xabier	Isasi	Euskaltel Euskadi	2.5M	0	0	0	4	4	1.6		1	0
109	Sven Erik	Bystrom	Groupama FDJ	2.5M	3	0	0	0	3	1.2		0	0
110	Jonas	Gregaard	Lotto Dstny	2.5M	3	0	0	0	3	1.2		1	2
111	Michel	Ries	Ark�a B&B Hotels	2.5M	2	0	0	0	2	0.8		0	0
112	Valentin	Paret-Peintre	Decathlon AG2R La Mondiale Team	5M	2	0	0	0	2	0.4		9	0
113	Maurice	Ballerstedt	Alpecin Deceuninck	2.5M	1	0	0	0	1	0.4		0	0
114	James	Knox	Soudal Quickstep	3.5M	1	0	0	0	1	0.3		1	0
115	Xandro	Meurisse	Alpecin Deceuninck	2.5M	0	0	0	0	0	0.0		0	1
116	Oscar	Riesebeek	Alpecin Deceuninck	2.5M	0	0	0	0	0	0.0		0	2
117	�lie	Gesbert	Ark�a B&B Hotels	2.5M	0	0	0	0	0	0.0	7	1	1
118	Laurens	Huys	Ark�a B&B Hotels	2.5M	0	0	0	0	0	0.0		1	1
119	Lukasz	Owsian	Ark�a B&B Hotels	2.5M	0	0	0	0	0	0.0		0	0
120	Gleb	Brussenskiy	Astana Qazaqstan Team	2.5M	0	0	0	0	0	0.0		0	1
121	Harold Mart�n	L�pez	Astana Qazaqstan Team	2.5M	0	0	0	0	0	0.0	9	1	1
122	Santiago	Umba	Astana Qazaqstan Team	2.5M	0	0	0	0	0	0.0		1	1
123	Nicolas	Vinokurov	Astana Qazaqstan Team	2.5M	0	0	0	0	0	0.0		1	1
124	Damiano	Caruso	Bahrain Victorious	6.7M	0	0	0	0	0	0.0	6	1	1
125	Kamil	Gradek	Bahrain Victorious	2.5M	0	0	0	0	0	0.0		0	0
126	Rainer	Kepplinger	Bahrain Victorious	2.5M	0	0	0	0	0	0.0	9	0	0
127	Fran	Miholjevic	Bahrain Victorious	2.5M	0	0	0	0	0	0.0		0	0
128	Torstein	Traeen	Bahrain Victorious	4.3M	0	0	0	0	0	0.0		0	0
129	Thomas	Champion	Cofidis	2.5M	0	0	0	0	0	0.0		0	0
130	Kenny	Elissonde	Cofidis	3M	0	0	0	0	0	0.0	6	0	0
131	Ruben	Fernandez	Cofidis	2.5M	0	0	0	0	0	0.0	13	0	0
132	Jonathan	Lastra	Cofidis	2.5M	0	0	0	0	0	0.0	12	2	1
133	Geoffrey	Bouchard	Decathlon AG2R La Mondiale Team	4.2M	0	0	0	0	0	0.0		2	0
134	Sander	De Pestel	Decathlon AG2R La Mondiale Team	2.5M	0	0	0	0	0	0.0	16	3	1
